Date,date,actual,probability,predicted,QQQ,TQQQ,SQQQ,TMF,TLT,VIX,signal_strength,price_momentum,high_conviction,sma_200,bull_market,vix_spike,vix_collapse,position,position_change,trade_counter,TQQQ_weight,SQQQ_weight,TMF_weight,position_weight,QQQ_return,TQQQ_return,SQQQ_return,TMF_return,strategy_return,transaction_cost,strategy_equity,buy_hold_equity,strategy_peak,strategy_drawdown,buy_hold_peak,buy_hold_drawdown
2022-12-01,2022-12-01,0,0.48177068147961977,0,288.85797119140625,22.78520393371582,188.57501220703125,87.40718078613281,96.936279296875,19.84000015258789,0.036458637040760467,,False,,False,False,False,TMF,True,,0.0,0.0,0.6,0.6,,,,,,0.0006000000000000001,,,,,,
2022-12-02,2022-12-02,0,0.48385378157675096,0,287.707275390625,22.515897750854492,191.0436553955078,90.51541137695312,98.1552963256836,19.059999465942383,0.032292436846498074,,False,,False,False,False,TMF,False,,0.0,0.0,0.6,0.6,-0.003983604108396821,-0.011819344854001046,0.013091040852041935,0.03556035743133634,0.021336214458801805,0.0,510.6681072294009,498.0081979458016,510.6681072294009,0.0,498.0081979458016,0.0
2022-12-05,2022-12-05,0,0.48384544279830727,0,282.87860107421875,21.38096809387207,200.46096801757812,86.93623352050781,96.78047180175781,20.75,0.032309114403385464,,False,,False,False,False,TMF,False,,0.0,0.0,0.6,0.6,-0.016783288882251113,-0.05040570309657544,0.04929403492921103,-0.03954219289287386,-0.023725315735724315,0.0,498.55234514921864,489.6499824939479,510.6681072294009,-0.02372531573572434,498.0081979458016,-0.016783288882251113
2022-12-06,2022-12-06,1,0.4816544690132014,0,277.01727294921875,20.024816513061523,212.94119262695312,90.32704162597656,98.02698516845703,22.170000076293945,0.03669106197359717,,False,,False,False,False,TMF,False,,0.0,0.0,0.6,0.6,-0.02072029521760177,-0.06342797832429437,0.06225762916739286,0.03900339327064217,0.0234020359623853,0.0,510.2194850595322,479.5042903033798,510.6681072294009,-0.0008785004654053852,498.0081979458016,-0.03715582939949036
2022-12-07,2022-12-07,1,0.48336643080581293,0,275.88629150390625,19.78436851501465,215.95838928222656,96.3551254272461,100.33676147460938,22.68000030517578,0.03326713838837414,,False,,False,False,False,TMF,False,1.0,0.0,0.0,0.6,0.6,-0.004082710920050969,-0.01200750068746137,0.014169154488390623,0.06673620316527629,0.04004172189916577,0.0,530.6495517878216,477.5466129011469,530.6495517878216,0.0,498.0081979458016,-0.04108684380910843
2022-12-08,2022-12-08,0,0.4817684864885448,0,279.1513671875,20.486488342285156,208.46112060546875,95.69580841064453,100.06178283691406,22.290000915527344,0.03646302702291038,-0.03360337941816516,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,0.011834860172990957,0.0354886144957145,-0.03471626502529601,-0.006842573383388784,-0.00410554403003327,0.0,528.4709466884393,483.1983102909174,530.6495517878216,-0.004105544030033159,498.0081979458016,-0.029738240687547823
2022-12-09,2022-12-09,0,0.48425738419258346,0,277.37127685546875,20.092144012451172,212.52978515625,88.34906768798828,97.4587173461914,22.829999923706055,0.031485231614833076,-0.0359253985535225,False,,False,True,False,TMF,False,0.0,0.0,0.0,0.6,0.6,-0.006376792454810376,-0.01924899588672002,0.019517618148477522,-0.07677181315121273,-0.04606308789072764,0.0,504.12794302343366,480.1170549516771,530.6495517878216,-0.04997951788526622,498.0081979458016,-0.035925398553522614
2022-12-12,2022-12-12,0,0.4842326159640126,0,280.8526611328125,20.823118209838867,204.66677856445312,89.10257720947266,97.77034759521484,25.0,0.03153476807197475,-0.0071618706176884706,False,,False,True,False,TMF,False,0.0,0.0,0.0,0.6,0.6,0.012551351087292995,0.03638109486646668,-0.03699719823278447,0.008528777283145272,0.005117266369887163,0.0,506.70769999238786,486.1431726713727,530.6495517878216,-0.04511801002143645,498.0081979458016,-0.023824959756425845
2022-12-13,2022-12-13,0,0.4840088475887257,0,283.8718566894531,21.47714614868164,198.12950134277344,91.55148315429688,98.71440887451172,22.549999237060547,0.0319823048225486,0.024744246693565897,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,0.010750104857339737,0.03140874158480966,-0.031941076453797734,0.02748412022995761,0.016490472137974565,0.0,515.0635492012095,491.3692627532698,530.6495517878216,-0.029371555170641273,498.0081979458016,-0.013330975714689552
2022-12-14,2022-12-14,0,0.4836424959629971,0,281.767333984375,20.967390060424805,203.11244201660156,92.87013244628906,99.13604736328125,21.139999389648438,0.03271500807400585,0.021316907224386172,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,-0.007413636313304606,-0.023734814892439893,0.025149917806573496,0.014403363512634604,0.008642018107580762,0.0,519.5147377199613,487.72642974368046,530.6495517878216,-0.020983366574692686,498.0081979458016,-0.020645781022343934
2022-12-15,2022-12-15,0,0.4840174346604871,0,272.3065490722656,18.8898868560791,222.99853515625,93.90621185302734,99.52283477783203,22.829999923706055,0.031965130679025844,-0.02452009525941834,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,-0.03357658525680629,-0.09908258483095211,0.09790681920915034,0.011156217606747676,0.006693730564048606,0.0,522.9922293983111,471.350241693394,530.6495517878216,-0.014430093012821832,498.0081979458016,-0.05352915145246018
2022-12-16,2022-12-16,0,0.48392033380004,0,269.7102355957031,18.3320369720459,229.67295837402344,90.79798126220703,98.41112518310547,22.6200008392334,0.03215933239991997,-0.027620167980686783,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,-0.009534524547455847,-0.02953166889158354,0.02993034556526042,-0.033099307590907845,-0.019859584554544705,0.0,512.6058209972056,466.8561412435191,530.6495517878216,-0.034003101915048295,498.0081979458016,-0.062553300991388
2022-12-19,2022-12-19,0,0.48415746355250494,0,265.9198303222656,17.57221221923828,239.135986328125,85.99435424804688,96.75731658935547,22.420000076293945,0.03168507289499012,-0.05316962549087356,False,,False,False,False,TMF,False,0.0,0.0,0.0,0.6,0.6,-0.014053620416243029,-0.04144791732453168,0.04120218601743697,-0.05290455742940159,-0.031742734457640955,0.0,496.33431053985015,460.29512224549075,530.6495517878216,-0.06466648493786398,498.0081979458016,-0.0757278210597152
