,strategy_equity
2024-06-24,583.3257815438359
2024-06-25,618.6507030357986
2024-06-26,625.3756230594852
2024-06-27,633.3131523156372
2024-06-28,614.6926185178567
2024-07-01,632.7827070266543
2024-07-02,670.9201363906308
2024-07-03,703.2450875999841
2024-07-05,745.1220221922479
2024-07-08,754.4400956699876
2024-07-09,757.5184331549121
2024-07-10,808.7957409716207
2024-07-11,692.225908946199
2024-07-12,716.3068691459641
2024-07-15,727.4387557998616
2024-07-16,727.9607188421479
2024-07-17,617.4511913774759
2024-07-18,601.2131018546881
2024-07-19,572.850644364168
2024-07-22,615.514439156104
2024-07-23,615.4528877121884
2024-07-24,615.592611844753
2024-07-25,615.5310525835686
2024-07-26,615.8050051303595
2024-07-29,615.7434246298465
2024-07-30,643.3842921845743
2024-07-31,581.4178161480644
2024-08-01,627.1563798225242
2024-08-02,676.0384084619313
2024-08-05,742.0825642122651
2024-08-06,742.170608941351
2024-08-07,742.2586286442123
2024-08-08,742.2653535756301
2024-08-09,742.3533951482456
2024-08-12,742.5224738575374
2024-08-13,699.147033773501
2024-08-14,698.3511949697989
2024-08-15,656.754006831822
2024-08-16,654.7014923456461
2024-08-19,635.6693786701572
2024-08-20,657.7326493321609
2024-08-21,657.601809072201
2024-08-22,630.168701879052
2024-08-23,645.9510435384079
2024-08-26,638.958606966212
2024-08-27,633.9662599650272
2024-08-28,630.6548335512288
2024-08-29,620.6860477938541
2024-08-30,593.8830305788731
2024-09-03,632.7548467179103
2024-09-04,665.4866349156044
2024-09-05,680.706788383071
2024-09-06,679.9534516990959
2024-09-09,690.7810581665838
2024-09-10,672.5125783731997
2024-09-11,627.974969522581
2024-09-12,609.0216252288899
2024-09-13,600.5806235252279
2024-09-16,610.1183726792699
2024-09-17,591.2513568737744
2024-09-18,545.2685821580566
2024-09-19,532.7493693731892
2024-09-20,519.0561730363256
2024-09-23,509.8790282631933
2024-09-24,509.8837044040952
2024-09-25,509.9438154035994
2024-09-26,509.892821022059
2024-09-27,510.0085127330816
2024-09-30,510.01311016276463
2024-10-01,510.07921026560496
2024-10-02,510.08400698548303
2024-10-03,510.14446623363386
2024-10-04,510.2049952650025
2024-10-07,510.2655505739469
2024-10-08,510.2145240188895
2024-10-09,510.21919236753325
2024-10-10,510.22398508900886
2024-10-11,510.45152987479514
2024-10-14,510.344768161121
2024-10-15,510.4609535621903
2024-10-16,510.40990746683406
2024-10-17,510.47026617330016
2024-10-18,510.58634542946976
2024-10-21,510.6466642193904
2024-10-22,510.6512392629534
2024-10-23,510.60017413902716
2024-10-24,510.6047861307228
2024-10-25,510.77647826529625
2024-10-28,510.72540061746975
2024-10-29,510.7856387018299
2024-10-30,510.7902967029316
2024-10-31,510.850506040311
2024-11-01,511.01728828611823
2024-11-04,511.07788663016345
2024-11-05,511.02677884150046
2024-11-06,511.0873539000334
2024-11-07,511.09212183269136
2024-11-08,511.3201945127943
2024-11-11,511.21324037024186
2024-11-12,511.2179355864842
