date,dmt_equity,trad_equity,buy_hold_equity,long_position,short_position,cash_position
2024-04-26,10157.889,10155.968,10000.0,0.8097969,3.9008035e-05,0.19016406
2024-04-29,10247.988,10244.951,10040.603518919397,0.80980957,3.3303073e-05,0.19015713
2024-04-30,10249.309,10246.254,9851.275969642678,0.80980843,3.38284e-05,0.19015774
2024-05-01,10244.407,10241.415,9780.045275388473,0.8098033,3.6152018e-05,0.19016054
2024-05-02,10262.502,10259.285,9904.872101693734,0.8097825,4.546343e-05,0.19017203
2024-05-03,10282.101,10278.639,10103.944467015412,0.8098119,3.2285323e-05,0.19015582
2024-05-06,10301.3125,10297.609,10214.617480528712,0.8098074,3.4265744e-05,0.19015831
2024-05-07,10354.966,10350.591,10216.241022875847,0.809798,3.8527134e-05,0.19016346
2024-05-08,10486.029,10480.005,10210.209196174139,0.8098091,3.3530927e-05,0.19015738
2024-05-09,10468.782,10462.976,10232.482145486634,0.80980563,3.5100853e-05,0.19015926
2024-05-10,10464.655,10458.902,10256.612301863184,0.8098077,3.413164e-05,0.19015814
2024-05-13,10523.74,10517.236,10280.277978375612,0.8097973,3.8811075e-05,0.1901639
2024-05-14,10540.408,10533.69,10346.402956086635,0.80966944,9.630523e-05,0.19023426
2024-05-15,10538.723,10532.026,10508.120311968043,0.8097048,8.0449114e-05,0.19021477
2024-05-16,10500.342,10494.136,10486.77560999136,0.8096805,9.132916e-05,0.19022815
2024-05-17,10580.746,10573.515,10481.670605840607,0.80979365,4.0499206e-05,0.19016585
2024-05-20,10613.112,10605.464,10554.756369981578,0.809772,5.0218045e-05,0.19017777
2024-05-21,10552.543,10545.675,10575.405776946938,0.8097491,6.0472117e-05,0.1901904
2024-05-22,10638.953,10630.972,10573.317042343253,6.329524e-05,0.8097429,0.19019377
2024-05-23,10654.9795,10646.788,10525.754161778765,3.557574e-05,0.80980456,0.19015986
2024-05-24,10608.659,10601.071,10625.289632047174,6.9169866e-05,0.8097299,0.19020098
2024-05-28,10585.15,10577.867,10665.429383494878,4.5675628e-05,0.809782,0.19017231
2024-05-29,10752.783,10743.348,10590.255597142652,0.8097193,7.389303e-05,0.19020678
2024-05-30,10749.776,10740.382,10476.797841621912,0.8097988,3.8164493e-05,0.19016306
2024-05-31,10742.074,10732.779,10457.308921924425,0.8098099,3.3143453e-05,0.19015694
2024-06-03,10777.21,10767.457,10513.456843658429,0.8098063,3.4801546e-05,0.19015892
2024-06-04,10837.101,10826.565,10542.227524321612,0.8098026,3.646572e-05,0.19016095
2024-06-05,10952.026,10939.984,10754.756270246638,0.80974156,6.389605e-05,0.19019455
